,Question,Answer
683,Mention what are the rules for local and global variables in Python?,"Local variables: If a variable is assigned a new value anywhere within the function's body, it's assumed to be local.
Global variables: Those variables that are only referenced inside a function are implicitly global. "
684,How can you share global variables across modules?,"To share global variables across modules within a single program, create a special module. Import the config module in all modules of your application. The module will be available as a global variable across modules. "
685,Explain how can you make a Python Script executable on Unix?,"To make a Python Script executable on Unix, you need to do two things,
    Script file's mode must be executable and
    the first line must begin with # ( #!/usr/local/bin/python)"
686,Explain how to delete a file in Python?,By using a command os.remove (filename) or os.unlink(filename) 
687,By using a command os.remove (filename) or os.unlink(filename),"To generate random numbers in Python, you need to import command as
import random ,random.random() ,This returns a random floating point number in the range [0,1) "
688,Explain how can you access a module written in Python from C?,"You can access a module written in Python from C by following method,
Module = =PyImport_ImportModule(""<modulename>""); "
689,Mention the use of // operator in Python?,"It is a Floor Divisionoperator , which is used for dividing two operands with the result as quotient showing only digits before the decimal point. For instance, 10//5 = 2 and 10.0//5.0 = 2.0. "
690,What is the purpose of PYTHONCASEOK environment variable?,PYTHONCASEOK ? It is used in Windows to instruct Python to find the first case-insensitive match in an import statement. Set this variable to any value to activate it.
691,What is the purpose of PYTHONHOME environment variable?,PYTHONHOME ? It is an alternative module search path. It is usually embedded in the PYTHONSTARTUP or PYTHONPATH directories to make switching module libraries easy.
692,What is the output of print str if str = 'Hello World!'?,It will print complete string. Output would be Hello World!.
693,What is the output of print str[2:5] if str = 'Hello World!'?,It will print characters starting from 3rd to 5th. Output would be llo.
694,What is the output of print str[2:] if str = 'Hello World!'?,It will print characters starting from 3rd character. Output would be llo World!.
695,How will you get all the keys from the dictionary?,"Using dictionary.keys() function, we can get all the keys from the dictionary object.print dict.keys()"
696,ow will you convert a string to an int in python?,"int(x [,base]) - Converts x to an integer. base specifies the base if x is a string"
697,How will you convert a string to a long in python?,"long(x [,base] ) - Converts x to a long integer. base specifies the base if x is a string."
698,How will you convert a object to a string in python?,str(x) ? Converts object x to a string representation.
699,How will you convert a object to a regular expression in python?,repr(x) ? Converts object x to an expression string.
700,What is the purpose of ** operator?,** Exponent ? Performs exponential (power) calculation on operators. a**b = 10 to the power 20 if a = 10 and b = 20.
701,What is the purpose of // operator?,// Floor Division ? The division of operands where the result is the quotient in which the digits after the decimal point are removed.
702,What is the purpose of is operator?,"is ? Evaluates to true if the variables on either side of the operator point to the same object and false otherwise. x is y, here is results in 1 if id(x) equals id(y)."
703,How can you get a random number in python?,"random() ? returns a random float r, such that 0 is less than or equal to r and r is less than 1."
704,How can you pick a random item from a range?,"randrange ([start,] stop [,step]) ? returns a randomly selected element from range(start, stop, step)."
705,How will you set the starting value in generating random numbers?,seed([x]) ? Sets the integer starting value used in generating random numbers. Call this function before calling any other random module function. Returns None.
706,How will you randomizes the items of a list in place?,shuffle(lst) ? Randomizes the items of a list in place. Returns None.
707,How will you capitalizes first letter of string?,capitalize() ? Capitalizes first letter of string
708,How will you check in a string that all characters are alphanumeric?,isalnum() ? Returns true if string has at least 1 character and all characters are alphanumeric and false otherwise.
709,How will you check in a string that all characters are in lowercase?,islower() ? Returns true if string has at least 1 cased character and all cased characters are in lowercase and false otherwise
710,How will you check in a string that all characters are numerics?,isnumeric() ? Returns true if a unicode string contains only numeric characters and false otherwise
711,How will you check in a string that all characters are whitespaces?,isspace() ? Returns true if string contains only whitespace characters and false otherwise.
712,How will you check in a string that it is properly titlecased?,"istitle() ? Returns true if string is properly ""titlecased"" and false otherwise."
713,How will you check in a string that all characters are in uppercase?,isupper() ? Returns true if string has at least one cased character and all cased characters are in uppercase and false otherwise
714,How will you merge elements in a sequence?,"join(seq) ? Merges (concatenates) the string representations of elements in sequence seq into a string, with separator string."
715,How will you get the length of the string?,len(string) ? Returns the length of the string
716,How will you get a space-padded string with the original string left-justified to a total of width columns?,"ljust(width[, fillchar]) ? Returns a space-padded string with the original string left-justified to a total of width columns"
717,How will you convert a string to all lowercase?,lower() ? Converts all uppercase letters in string to lowercase.
718,How will you remove all leading whitespace in string?,lstrip() ? Removes all leading whitespace in string.
719,How will you get the max alphabetical character from the string?,max(str) ? Returns the max alphabetical character from the string str.
720,How will you get the min alphabetical character from the string?,min(str) ? Returns the min alphabetical character from the string str.
721,How will you replaces all occurrences of old substring in string with new string?,"replace(old, new [, max]) ? Replaces all occurrences of old in string with new or at most max occurrences if max given."
722,How will you remove all leading and trailing whitespace in string?,strip([chars]) ? Performs both lstrip() and rstrip() on string.
723,How will you change case for all letters in string?,swapcase() ? Inverts case for all letters in string.
724,How will you get titlecased version of string?,"title() ? Returns ""titlecased"" version of string, that is, all words begin with uppercase and the rest are lowercase"
725,How will you convert a string to all uppercase?,upper() ? Converts all lowercase letters in string to uppercase.
726,How will you check in a string that all characters are decimal?,isdecimal() ? Returns true if a unicode string contains only decimal characters and false otherwise.
727,What is the difference between del() and remove() methods of list?,"o remove a list element, you can use either the del statement if you know exactly which element(s) you are deleting or the remove() method if you do not know."
728,"What is the output of len([1, 2, 3])?",3
729,What is the output of ['Hi!'] * 4?,"['Hi!', 'Hi!', 'Hi!', 'Hi!']"
730,"What is the output of 3 in [1, 2, 3]?",TRUE
731,"What is the output of L[2] if L = [1,2,3]?","3, Offsets start at zero."
732,"What is the output of L[-2] if L = [1,2,3]?","1, Negative: count from the right."
733,"What is the output of L[1:] if L = [1,2,3]?","2, 3, Slicing fetches sections."
734,How will you compare two lists?,"cmp(list1, list2) ? Compares elements of both lists."
735,How will you get the length of a list?,len(list) ? Gives the total length of the list.
736,How will you get the max valued item of a list?,max(list) ? Returns item from the list with max value.
737,How will you get the min valued item of a list?,min(list) ? Returns item from the list with min value.
738,How will you get the index of an object in a list?,list.index(obj) ? Returns the lowest index in list that obj appears.
739,How will you insert an object at given index in a list?,"list.insert(index, obj) ? Inserts object obj into list at offset index."
740,How will you remove last object from a list?,list.pop(obj=list[-1]) ? Removes and returns last object or obj from list.
741,How will you remove an object from a list?,list.remove(obj) ? Removes object obj from list.
742,How will you reverse a list?,list.reverse() ? Reverses objects of list in place.
743,How will you sort a list?,"list.sort([func]) ? Sorts objects of list, use compare func if given."
744,What we call a function which is incomplete version of a function?,Stub.
745,When a function is defined then the system stores parameters and local variables in an area of memory. What this memory is known as?,Stack.
746,s Python platform independent?,"

No
There are some modules and functions in python that can only run on certain platforms.
"
747,o you think Python has a complier?,"

YYes it has a complier which works automatically so we dont notice the compiler of python.
"
748,Is String in Python are immutable? (Yes/No),Yes.
749,Can True = False be possible in Python?,No.
750,Which module of python is used to apply the methods related to OS.?,OS.
751,When does a new block begin in python?,A block begins when the line is intended by 4 spaces
752,Name the python Library used for Machine learning.,Scikit-learn python Library used for Machine learning
753,What does pass operation do?,Pass indicates that nothing is to be done i.e. it signifies a no operation.
754,Name the tools which python uses to find bugs (if any).,Pylint and pychecker.
755,How do you construct an increment statement or decrement statement in C?,"There are actually two ways you can do this. One is to use the increment operator ++ and decrement operator . For example, the statement x++ means to increment the value of x by 1. Likewise, the statement x  means to decrement the value of x by 1. Another way of writing increment statements is to use the conventional + plus sign or  minus sign. In the case of x++, another way to write it is x = x +1."
756,What is the difference between Call by Value and Call by Reference?,"When using Call by Value, you are sending the value of a variable as parameter to a function, whereas Call by Reference sends the address of the variable. Also, under Call by Value, the value in the parameter is not affected by whatever operation that takes place, while in the case of Call by Reference, values can be affected by the process within the function."
757,Some coders debug their programs by placing comment symbols on some codes instead of deleting it. How does this aid in debugging?,"Placing comment symbols /* */ around a code, also referred to as commenting out, is a way of isolating some codes that you think maybe causing errors in the program, without deleting the code. The idea is that if the code is in fact correct, you simply remove the comment symbols and continue on. It also saves you time and effort on having to retype the codes if you have deleted it in the first place."
758,What is a stack?,"A stack is one form of a data structure. Data is stored in stacks using the FILO (First In Last Out) approach. At any particular instance, only the top of the stack is accessible, which means that in order to retrieve data that is stored inside the stack, those on the upper part should be extracted first. Storing data in a stack is also referred to as a PUSH, while data retrieval is referred to as a POP."
759,What is a sequential access file?,"When writing programs that will store and retrieve data in a file, it is possible to designate that file into different forms. A sequential access file is such that data are saved in sequential order: one data is placed into the file after another. To access a particular data within the sequential access file, data has to be read one data at a time, until the right one is reached."
760,What is variable initialization and why is it important?,"This refers to the process wherein a variable is assigned an initial value before it is used in the program. Without initialization, a variable would have an unknown value, which can lead to unpredictable outputs when used in computations or other operations."
761,What is spaghetti programming?,"Spaghetti programming refers to codes that tend to get tangled and overlapped throughout the program. This unstructured approach to coding is usually attributed to lack of experience on the part of the programmer. Spaghetti programing makes a program complex and analyzing the codes difficult, and so must be avoided as much as possible."
762,Differentiate Source Codes from Object Codes,"Source codes are codes that were written by the programmer. It is made up of the commands and other English-like keywords that are supposed to instruct the computer what to do. However, computers would not be able to understand source codes. Therefore, source codes are compiled using a compiler. The resulting outputs are object codes, which are in a format that can be understood by the computer processor. In C programming, source codes are saved with the file extension .C, while object codes are saved with the file extension .OBJ"
763,"In C programming, how do you insert quote characters ( and ) into the output screen?","This is a common problem for beginners because quotes are normally part of a printf statement. To insert the quote character as part of the output, use the format specifiers \ (for single quote), and \ (for double quote)."
764,What is the use of a \0 character?,"It is referred to as a terminating null character, and is used primarily to show the end of a string value."
765,What is the difference between the = symbol and == symbol?,"The = symbol is often used in mathematical operations. It is used to assign a value to a given variable. On the other hand, the == symbol, also known as equal to or equivalent to, is a relational operator that is used to compare two values."
766,What is the modulus operator?,"The modulus operator outputs the remainder of a division. It makes use of the percentage (%) symbol. For example: 10 % 3 = 1, meaning when you divide 10 by 3, the remainder is 1."
767,What is a nested loop?,"A nested loop is a loop that runs within another loop. Put it in another sense, you have an inner loop that is inside an outer loop. In this scenario, the inner loop is performed a number of times as specified by the outer loop. For each turn on the outer loop, the inner loop is first performed."
768,"Which of the following operators is incorrect and why? ( >=, <=, <>, ==)","<> is incorrect. While this operator is correctly interpreted as not  equal to in writing conditional statements, it is not the proper operator to be used in C programming. Instead, the operator  !=  must be used to indicate not equal to condition."
769,Compare and contrast compilers from interpreters.,"Compilers and interpreters often deal with how program codes are executed. Interpreters execute program codes one line at a time, while compilers take the program as a whole and convert it into object code, before executing it. The key difference here is that in the case of interpreters, a program may encounter syntax errors in the middle of execution, and will stop from there. On the other hand, compilers check the syntax of the entire program and will only proceed to execution when no syntax errors are found."
770,How do you declare a variable that will hold string values? ,"The char keyword can only hold 1 character value at a time. By creating an array of characters, you can store string values in it. Example: char MyName[50];  declares a string variable named MyName that can hold a maximum of 50 characters."
771,Can the curly brackets { } be used to enclose a single line of code?,"While curly brackets are mainly used to group several lines of codes, it will still work without error if you used it for a single line. Some programmers prefer this method as a way of organizing codes to make it look clearer, especially in conditional statements. "
772,What are header files and what are its uses in C programming?,"Header files are also known as library files. They contain two essential things: the definitions and prototypes of functions being used in a program. Simply put, commands that you use in C programming are actually functions that are defined from within each header files. Each header file contains a set of functions. For example: stdio.h is a header file that contains definition and prototypes of commands like printf and scanf. "
773,What is syntax error?,"Syntax errors are associated with mistakes in the use of a programming language. It maybe a command that was misspelled or a command that must was entered in lowercase mode but was instead entered with an upper case character. A misplaced symbol, or lack of symbol, somewhere within a line of code can also lead to syntax error."
774,What are variables and it what way is it different from constants?,"Variables and constants may at first look similar in a sense that both are identifiers made up of one character or more characters (letters, numbers and a few allowable symbols). Both will also hold a particular value.  Values held by a variable can be altered throughout the program, and can be used in most operations and computations. Constants are given values at one time only, placed at the beginning of a program. This value is not altered in the program. For example, you can assigned a constant named PI and give it a value 3.1415  .  You can then use it as PI in the program, instead of having to write 3.1415 each time you need it. "
775,How do you access the values within an array?,"Arrays contain a number of elements, depending on the size you gave it during variable declaration. Each element is assigned a number from 0 to number of elements-1. To assign or retrieve the value of a particular element, refer to the element number. For example: if you have a declaration that says intscores[5];, then you have 5 accessible elements, namely: scores[0], scores[1], scores[2], scores[3] and scores[4]"
776,Can I use  int data type to store the value 32768? Why?,"No. int data type is capable of storing values from -32768 to 32767. To store 32768, you can use long int instead. You can also use unsigned int, assuming you dont intend to store negative values."
777,Can two or more operators such as \n and \t be combined in a single line of program code?,"Yes, its perfectly valid to combine operators, especially if the need arises. For example: you can have a code like  printf (Hello\n\n\World\')  to output the text Hello on the first line and World enclosed in single quotes to appear on the next two lines. "
778,Why is it that not all header files are declared in every C program?,"The choice of declaring a header file at the top of each C program would depend on what commands/functions you will be using in that program. Since each header file contains different function definitions and prototype, you would be using only those header files that would contain the functions you will need. Declaring all header files in every program would only increase the overall file size and load of the program, and is not considered a good programming style."
779,When is the void keyword used in a function?,"When declaring functions, you will decide whether that function would be returning a value or not. If that function will not return a value, such as when the purpose of a function is to display some outputs on the screen, then void is to be placed at the leftmost part of the function header. When a return value is expected after the function execution, the data type of the return value is placed instead of void."
780,What are compound statements?,Compound statements are made up of two or more program statements that are executed together. This usually occurs while handling conditions wherein a series of statements are executed when a TRUE or FALSE is evaluated. Compound statements can also be executed within a loop. Curly brackets { } are placed before and after compound statements.
781,What is the significance of an algorithm to C programming?,"Before a program can be written, an algorithm has to be created first. An algorithm provides a step by step procedure on how a solution can be derived. It also acts as a blueprint on how a program will start and end, including what process and computations are involved."
782,What is the advantage of an array over individual variables?,"When storing multiple related data, it is a good idea to use arrays. This is because arrays are named using only 1 word followed by an element number. For example: to store the 10 test results of 1 student, one can use 10 different variable names (grade1, grade2, grade3 grade10). With arrays, only 1 name is used, the rest are accessible through the index name (grade[0], grade[1], grade[2] grade[9])."
783,"What is wrong in this statement?  scanf(%d,whatnumber)","An ampersand & symbol must be placed before the variable name whatnumber. Placing & means whatever integer value is entered by the user is stored at the address of the variable name. This is a common mistake for programmers, often leading to logical errors."
784,How do you generate random numbers in C?,"Random numbers are generated in C using the rand() command. For example: anyNum = rand() will generate any integer number beginning from 0, assuming that anyNum is a variable of type integer."
785,What could possibly be the problem if a valid function name such as tolower() is being reported by the C compiler as undefined?,"The most probable reason behind this error is that the header file for that function was not indicated at the top of the program. Header files contain the definition and prototype for functions and commands used in a C program. In the case of tolower(), the code #include <ctype.h> must be present at the beginning of the program."
786,What are comments and how do you insert it in a C program?,"Comments are a great way to put some remarks or description in a program. It can serves as a reminder on what the program is all about, or a description on why a certain code or function was placed there in the first place. Comments begin with /* and ended by */ characters. Comments can be a single line, or can even span several lines. It can be placed anywhere in the program."
787,What is debugging?,"Debugging is the process of identifying errors within a program. During program compilation, errors that are found will stop the program from executing completely. At this state, the programmer would look into the possible portions where the error occurred. Debugging ensures the removal of errors, and plays an important role in ensuring that the expected program output is met."
788,What does the && operator do in a program code?,"The && is also referred to as AND operator. When using this operator, all conditions specified must be TRUE before the next action can be performed. If you have 10 conditions and all but 1 fails to evaluate as TRUE, the entire condition statement is already evaluated as FALSE."
789,"In C programming, what command or code can be used to determine if a number of odd or even?","There is no single command or function in C that can check if a number is odd or even. However, this can be accomplished by dividing that number by 2, then checking the remainder. If the remainder is 0, then that number is even, otherwise, it is odd. You can write it in code as:"
790,What does the format %10.2 mean when included in a printf statement?,"This format is used for two things: to set the number of spaces allotted for the output number and to set the number of decimal places. The number before the decimal point is for the allotted space, in this case it would allot 10 spaces for the output number. If the number of space occupied by the output number is less than 10, addition space characters will be inserted before the actual output number. The number after the decimal point sets the number of decimal places, in this case, its 2 decimal spaces. "
791,What are logical errors and how does it differ from syntax errors?,"Program that contains logical errors tend to pass the compilation process, but the resulting output may not be the expected one. This happens when a wrong formula was inserted into the code, or a wrong sequence of commands was performed. Syntax errors, on the other hand, deal with incorrect commands that are misspelled or not recognized by the compiler."
792,What are the different types of control structures in programming?,What are the different types of control structures in programming?
793,What is || operator and how does it function in a program?,"The || is also known as the OR operator in C programming. When using || to evaluate logical conditions, any condition that evaluates to TRUE will render the entire condition statement as TRUE."
794,Can the if function be used in comparing strings?,"No. if command can only be used to compare numerical values and single character values. For comparing string values, there is another function called strcmp that deals specifically with strings."
795,What are preprocessor directives?,"Preprocessor directives are placed at the beginning of every C program. This is where library files are specified, which would depend on what functions are to be used in the program. Another use of preprocessor directives is the declaration of constants.Preprocessor directives begin with the # symbol."
796,"What will be the outcome of the following conditional statement if the value of variable s is 10?
s >=10 && s < 25 && s!=12","The outcome will be TRUE. Since the value of s is 10, s >= 10 evaluates to TRUE because s is not greater than 10 but is still equal to 10. s< 25 is also TRUE since 10 is less then 25. Just the same, s!=12, which means s is not equal to 12, evaluates to TRUE. The && is the AND operator, and follows the rule that if all individual conditions are TRUE, the entire statement is TRUE."
797,Describe the order of precedence with regards to operators in C.,"Order of precedence determines which operation must first take place in an operation statement or conditional statement. On the top most level of precedence are the unary operators !, +,  and &. It is followed by the regular mathematical operators (*, / and modulus % first, followed by + and -). Next in line are the relational operators <, <=, >= and >. This is then followed by the two equality operators == and !=. The logical operators && and || are next evaluated. On the last level is the assignment operator =."
798,What is wrong with this statement? myName = Robin;,"You cannot use the = sign to assign values to a string variable. Instead, use the strcpy function. The correct statement would be: strcpy(myName, Robin);"
799,How do you determine the length of a string value that was stored in a variable?,"To get the length of a string value, use the function strlen(). For example, if you have a variable named FullName, you can get the length of the stored string value by using this statement: I = strlen(FullName); the variable I will now have the character length of the string value."
800,Is it possible to initialize a variable at the time it was declared?,"Yes, you dont have to write a separate assignment statement after the variable declaration, unless you plan to change it later on.  For example: char planet[15] = Earth; does two things: it declares a string variable named planet, then initializes it with the value Earth."
801,Why is C language being considered a middle level language?,"This is because C language is rich in features that make it behave like a high level language while at the same time can interact with hardware using low level methods. The use of a well structured approach to programming, coupled with English-like words used in functions, makes it act as a high level language. On the other hand, C can directly access memory structures similar to assembly language routines. "
802,What are the different file extensions involved when programming in C?,"Source codes in C are saved with .C file extension. Header files or library files have the .H file extension. Every time a program source code is successfully compiled, it creates an .OBJ object file, and an executable .EXE file. "
803,What are reserved words?,"Reserved words are words that are part of the standard C language library. This means that reserved words have special meaning and therefore cannot be used for purposes other than what it is originally intended for. Examples of reserved words are int, void, and return."
804,What are linked list?,"A linked list is composed of nodes that are connected with another. In C programming, linked lists are created using pointers. Using linked lists is one efficient way of utilizing memory for storage."
805,What is FIFO?,"In C programming, there is a data structure known as queue. In this structure, data is stored and accessed using FIFO format, or First-In-First-Out. A queue represents a line wherein the first data that was stored will be the first one that is accessible as well."
806,What are binary trees?,"Binary trees are actually an extension of the concept of linked lists. A binary tree has two pointers, a left one and a right one. Each side can further branch to form additional nodes, which each node having two pointers as well."
807,Not all reserved words are written in lowercase. TRUE or FALSE?,FALSE. All reserved words must be written in lowercase; otherwise the C compiler would interpret this as unidentified and invalid.
808,What is the difference between the expression ++a  and a++?,"In the first expression, the increment would happen first on variable a, and the resulting value will be the one to be used. This is also known as a prefix increment. In the second expression, the current value of variable a would the one to be used in an operation, before the value of a itself is incremented. This is also known as postfix increment."
809,What would happen to X in this expression: X += 15;  (assuming the value of X is 5),"X +=15 is a short method of writing X = X + 15, so if the initial value of X is 5, then 5 + 15 = 20."
810,"In C language, the variables NAME, name, and Name are all the same. TRUE or FALSE?","FALSE. C language is a case sensitive language. Therefore, NAME, name and Name are three uniquely different variables"
811,What is an endless loop?,"An endless loop can mean two things. One is that it was designed to loop continuously until the condition within the loop is met, after which a break function would cause the program to step out of the loop. Another idea of an endless loop is when an incorrect loop condition was written, causing the loop to run erroneously forever. Endless loops are oftentimes referred to as infinite loops."
812,What is a program flowchart and how does it help in writing a program?,"A flowchart provides a visual representation of the step by step procedure towards solving a given problem. Flowcharts are made of symbols, with each symbol in the form of different shapes. Each shape may represent a particular entity within the entire program structure, such as a process, a condition, or even an input/output phase."
813,What is wrong with this program statement? void = 10;,The word void is a reserved word in C language. You cannot use reserved words as a user-defined variable
814,Is this program statement valid? INT = 10.50;,"Assuming that INT is a variable of type float, this statement is valid. One may think that INT is a reserved word and must not be used for other purposes. However, recall that reserved words are express in lowercase, so the C compiler will not interpret this as a reserved word."
815,What are actual arguments?,"When you create and use functions that need to perform an action on some given values, you need to pass these given values to that function. The values that are being passed into the called function are referred to as actual arguments. "
816,What is a newline escape sequence?,"A newline escape sequence is represented by the \n character. This is used to insert a new line when displaying data in the output screen. More spaces can be added by inserting more \n characters. For example, \n\n would insert two spaces. A newline escape sequence can be placed before the actual output expression or after. "
817,What is output redirection?,"It is the process of transferring data to an alternative output source other than the display screen. Output redirection allows a program to have its output saved to a file. For example, if you have a program named COMPUTE, typing this on the command line as COMPUTE >DATA can accept input from the user, perform certain computations, then have the output redirected to a file named DATA, instead of showing it on the screen."
